JOB NAME,Date,OWNER,JOB CLASS,JOB ID,STEPS IN JCL,UTILITY/STEP NAME,COND CODES,RUN STATUS,REASON FOR ABEND,MORE ABEND INFO,SYSTEM LIBRERIES,STARTED_TIME,ENDED_TIME,STEP AND DBRM LIBS,JOB INFO
,,,,,"        26 XXDSNUPROC EXEC PGM=DSNUTILB,REGION=&SIZE,",DSNUTILB,,,,,,,,,
,,,,,"        37 //PH02CS04 EXEC PGM=IKJEFT01,DYNAMNBR=20,COND=(4,LT)",IKJEFT01,,,,,,,,,
 MINDT01Z,2/14/2020, MINDT01,A,JOB00273  ,         2 //STEP1    EXEC PGM=ICEMAN, ICEMAN,4,['SB37'],"[' ICE185A 0 AN SB37  ABEND WAS ISSUED BY DFSORT, ANOTHER PROGRAM OR AN EXIT (PHAS', ' ']",No More info,"MINDT01.DIVYA.PDATA,MINDT01.DIVYA.CONCSVF,UNCATALOGED,", 04.22.34, 04.22.34,"[' DD   DSN=&LIB', ' DD  DISP=SHR']","['         CPU:     0 HR  00 MIN  00.18 SEC    SRB:     0 HR  00 MIN  00.01 SEC', '1ICE201I 0 RECORD TYPE IS F - DATA STARTS IN POSITION 1', ' ICE751I 0 C5-I21470 C6-BASE   C7-K96411 C8-I25275 E9-BASE   C9-BASE   E5-I25610', ' ICE143I 0 BLOCKSET     COPY  TECHNIQUE SELECTED', ' ICE250I 0 VISIT http://www.ibm.com/storage/dfsort FOR DFSORT PAPERS, EXAMPLES A', ' ICE000I 1 - CONTROL STATEMENTS FOR 5650-ZOS, Z/OS DFSORT V2R1  - 04:22 ON WED M', '0           OPTION COPY', ""            OUTREC PARSE=(%01=(ENDBEFR=C',',FIXLEN=5),"", ""                           %02=(ENDBEFR=C',',FIXLEN=6),"", ""                           %03=(ENDBEFR=C',',FIXLEN=3),"", ""                           %04=(ENDBEFR=C',',FIXLEN=2),"", ""                           %05=(ENDBEFR=C',',FIXLEN=2),"", ""                           %06=(ENDBEFR=C',',FIXLEN=3),"", ""                           %07=(ENDBEFR=C',',FIXLEN=15),"", ""                           %08=(ENDBEFR=C',',FIXLEN=8),"", ""                           %09=(ENDBEFR=C',',FIXLEN=8),"", ""                           %10=(ENDBEFR=C',',FIXLEN=8),"", ""                           %11=(ENDBEFR=C',',FIXLEN=15),"", ""                           %12=(ENDBEFR=C',',FIXLEN=1)),"", '             BUILD=(%01,%02,%03,%04,%05,%06,%07,%08,%09,%10,%11,%12)', ' ICE193I 0 ICEAM1 INVOCATION ENVIRONMENT IN EFFECT - ICEAM1 ENVIRONMENT SELECTED', ' ICE088I 0 MINDT01Z.STEP1   .        , INPUT LRECL = 100, BLKSIZE = 1000, TYPE =', ' ICE093I 0 MAIN STORAGE = (MAX,6291456,6291456)', ' ICE156I 0 MAIN STORAGE ABOVE 16MB = (6234096,6234096)', ' ICE127I 0 OPTIONS: OVFLO=RC0 ,PAD=RC0 ,TRUNC=RC0 ,SPANINC=RC16,VLSCMP=N,SZERO=Y', ' ICE128I 0 OPTIONS: SIZE=6291456,MAXLIM=1048576,MINLIM=450560,EQUALS=N,LIST=Y,ER', ' ICE129I 0 OPTIONS: VIO=N,RESDNT=ALL ,SMF=NO   ,WRKSEC=Y,OUTSEC=Y,VERIFY=N,CHALT', ' ICE130I 0 OPTIONS: RESALL=4096,RESINV=0,SVC=109 ,CHECK=Y,WRKREL=Y,OUTREL=Y,CKPT', ' ICE131I 0 OPTIONS: TMAXLIM=6291456,ARESALL=0,ARESINV=0,OVERRGN=65536,CINV=Y,CFW', ' ICE132I 0 OPTIONS: VLSHRT=N,ZDPRINT=Y,IEXIT=N,TEXIT=N,LISTX=N,EFS=NONE    ,EXIT', ' ICE133I 0 OPTIONS: HIPRMAX=OPTIMAL,DSPSIZE=MAX ,ODMAXBF=0,SOLRF=Y,VLLONG=N,VSAM', ' ICE235I 0 OPTIONS: NULLOUT=RC0', ' ICE236I 0 OPTIONS: DYNAPCT=10 ,MOWRK=Y,TUNE=STOR,EXPMAX=MAX    ,EXPOLD=50%    ,', ' ICE084I 0 EXCP ACCESS METHOD USED FOR SORTOUT', ' ICE084I 0 EXCP ACCESS METHOD USED FOR SORTIN', ' ICE751I 2 EF-I27321 F0-BASE   DA-I26694', '0ICE805I 1 JOBNAME: MINDT01Z , STEPNAME: STEP1', ' ICE802I 0 BLOCKSET     TECHNIQUE IN CONTROL', ' ICE906I 0 ST=ABOVE,SR=6291456,RC=0', ' ICE907I 0 ST=ABOVE,SA=6291440,NF=1,LF=6291440,SF=6291440', ' ICE906I 0 ST=BELOW,SR=1060864,RC=0', ' ICE907I 0 ST=BELOW,SA=1052608,NF=4,LF=950256,SF=4080', ' ICE889I 0 CT=MAX     , SB=8, L=0, D=0000, CCW=1MAM', ' ICE902I 0 O PP10  I PP11', ' ICE906I 1 ST=ABOVE,SR=6234096,RC=0', ' ICE907I 1 ST=ABOVE,SA=6234080,NF=1,LF=6234080,SF=6234080', ' ICE906I 1 ST=BELOW,SR=94400,RC=0', ' ICE907I 1 ST=BELOW,SA=49328,NF=1,LF=49328,SF=49328', ' ICE185A 0 AN SB37  ABEND WAS ISSUED BY DFSORT, ANOTHER PROGRAM OR AN EXIT (PHAS', '1JOB MINDT01Z         STEP STEP1           TIME 042234   DATE 20134', '1JOB MINDT01Z         STEP STEP1           TIME 042234   DATE 20134', '', '                              DUMP INDEX', '                              ----------', '0 DATA AREAS                                               PAGE NUMBER', ' -----------                                               -----------', '0AREAS RELATED TO TCB AT: 006FF1C0/....                    00000001', ' STORAGE AREAS.........................                    00000001', '0END OF DUMP', '']"
,,,,,         7 //STEP2    EXEC PGM=IDCAMS,IDCAMS,,,,,,,,,
,,,,,        11 //STEP3    EXEC PGM=ICETOOL,ICETOOL,,,,,,,,,
,,,,,        18 //STEP4    EXEC PGM=SORT,SORT,,,,,,,,,
,,,,,"        26 XXDSNUPROC EXEC PGM=DSNUTILB,REGION=&SIZE,",DSNUTILB,,,,,,,,,
MINDT01Z,3/4/2020,,,,"        37 //PH02CS04 EXEC PGM=IKJEFT01,DYNAMNBR=20,COND=(4,LT)",IKJEFT01,,,,,,,,,
 MINDT01Z,3/27/2020, MINDT01,A,JOB00284  ,         2 //STEP1    EXEC PGM=ICEMAN, ICEMAN,16,['S04E'],"[' ICE043A 3 INVALID DATA SET ATTRIBUTES: SORTOUT  RECFM   - REASON CODE IS 08', ' IKJ56246I FILE SORTWK02 NOT ALLOCATED, FILE IN USE', ' ']","[' DSNU1044I   134 04:45:53.11 DSNUGTIS - PROCESSING SYSIN AS EBCDIC', ' DSNU650I  - 134 04:45:53.13 DSNURWI -  INTO TABLE MALEDATA', ' DSNU650I  - 134 04:45:53.13 DSNURWI -   (PID POSITION(1:5) DECIMAL EXTERNAL(5,', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    GENDER POSITION(6:11) CHAR(6),', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    AGE POSITION(12:14) DECIMAL EXTERNAL(3', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    HYPERTENSION POSITION(15:16) DECIMAL E', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    HEART_DISEASE POSITION(17:18) DECIMAL', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    EVER_MARRIED POSITION(19:21) CHAR(3),', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    WORK_TYPE POSITION(22:36) CHAR(15),', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    RESIDENCE_TYPE POSITION(37:44) CHAR(8)', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    AVG_GLUCOSE_LEVEL POSITION(45:52) DECI', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    BMI POSITION(53:60) DECIMAL EXTERNAL(8', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    SMOKING_STATUS POSITION(61:75) CHAR(15', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    STOKE POSITION(76) DECIMAL EXTERNAL(1,', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    NULL1 POSITION(77:100) CHAR(23))', ' DSNU304I  - 134 04:45:54.39 DSNURWT - (RE)LOAD PHASE STATISTICS - NUMBER OF REC', ' DSNU1147I - 134 04:45:54.39 DSNURWT - (RE)LOAD PHASE STATISTICS - TOTAL NUMBER', ' DSNU302I    134 04:45:54.40 DSNURILD - (RE)LOAD PHASE STATISTICS - NUMBER OF IN', ' DSNU300I    134 04:45:54.40 DSNURILD - (RE)LOAD PHASE COMPLETE, ELAPSED TIME=00', ' DSNU3340I   134 04:45:54.40 DSNUGSOR - UTILITY PERFORMS DYNAMIC ALLOCATION OF S', ' DSNU3341I   134 04:45:54.45 DSNUGSOR - CANNOT ALLOCATE SORT DATASETS WITHIN 255']","MINDT01.DIVYA.PDATA,", 04.45.51, 04.45.57,"[' DD   DSN=&LIB', ' DD  DISP=SHR', '']","['0IDC0002I IDCAMS PROCESSING COMPLETE. MAXIMUM CONDITION CODE WAS 0', '1ICE600I 0 DFSORT ICETOOL UTILITY RUN STARTED', '', ' ICE650I 0 VISIT http://www.ibm.com/storage/dfsort FOR ICETOOL PAPERS, EXAMPLES', '', ' ICE632I 0 SOURCE FOR ICETOOL STATEMENTS:  TOOLIN', '', '', ' ICE630I 0 MODE IN EFFECT:  STOP', '', '             SELECT FROM(IN) TO(OUT1) DISCARD(OUT2) ON(1,5,CH) FIRST', ' ICE627I 0 DFSORT CALL 0001 FOR SORT FROM IN       TO OUTFIL   COMPLETED', ' ICE628I 0 RECORD COUNT:  000000000086800', ' ICE638I 0 NUMBER OF RECORDS RESULTING FROM CRITERIA:  000000000043400', ' ICE602I 0 OPERATION RETURN CODE:  00', '', '', ' ICE601I 0 DFSORT ICETOOL UTILITY RUN ENDED - RETURN CODE:  00', '1ICE200I 0 IDENTIFIER FROM CALLING PROGRAM IS 0001', ' ICE201I 0 RECORD TYPE IS F - DATA STARTS IN POSITION 1', ' ICE751I 0 C5-I21470 C6-BASE   C7-K96411 C8-I25275 E4-BASE   C9-BASE   E5-I25610', ' ICE143I 0 BLOCKSET     SORT  TECHNIQUE SELECTED', ' ICE250I 0 VISIT http://www.ibm.com/storage/dfsort FOR DFSORT PAPERS, EXAMPLES A', ' ICE000I 0 - CONTROL STATEMENTS FOR 5650-ZOS, Z/OS DFSORT V2R1  - 04:45 ON WED M', '0          DEBUG NOABEND,ESTAE', '           OPTION MSGDDN=DFSMSG,LIST,MSGPRT=ALL,RESINV=0,SORTIN=IN,SORTOUT=OUT1,', '                          NALLOC,SZERO,EQUALS,NOVLSHRT,LOCALE=NONE,NOCHECK', '           SORT FIELDS=(1,5,CH,A)', '           MODS E35=(ICE35DU,12288)', '           OUTFIL FNAMES=OUT1', '           OUTFIL FNAMES=OUT2', ' ICE193I 0 ICEAM2 INVOCATION ENVIRONMENT IN EFFECT - ICEAM2 ENVIRONMENT SELECTED', ' ICE088I 1 MINDT01Z.STEP3   .        , INPUT LRECL = 100, BLKSIZE = 1000, TYPE =', ' ICE093I 0 MAIN STORAGE = (MAX,6291456,6291456)', ' ICE156I 0 MAIN STORAGE ABOVE 16MB = (6250480,6234096)', ' ICE127I 0 OPTIONS: OVFLO=RC0 ,PAD=RC0 ,TRUNC=RC0 ,SPANINC=RC16,VLSCMP=N,SZERO=Y', ' ICE128I 0 OPTIONS: SIZE=6291456,MAXLIM=1048576,MINLIM=450560,EQUALS=Y,LIST=Y,ER', ' ICE129I 0 OPTIONS: VIO=N,RESDNT=ALL ,SMF=NO   ,WRKSEC=Y,OUTSEC=Y,VERIFY=N,CHALT', ' ICE130I 0 OPTIONS: RESALL=4096,RESINV=0,SVC=109 ,CHECK=N,WRKREL=Y,OUTREL=Y,CKPT', ' ICE131I 0 OPTIONS: TMAXLIM=6291456,ARESALL=0,ARESINV=0,OVERRGN=16384,CINV=Y,CFW', ' ICE132I 0 OPTIONS: VLSHRT=N,ZDPRINT=Y,IEXIT=N,TEXIT=N,LISTX=N,EFS=NONE    ,EXIT', ' ICE133I 0 OPTIONS: HIPRMAX=OPTIMAL,DSPSIZE=MAX ,ODMAXBF=2097152,SOLRF=Y,VLLONG=', ' ICE235I 0 OPTIONS: NULLOUT=RC0', ' ICE236I 0 OPTIONS: DYNAPCT=10 ,MOWRK=Y,TUNE=STOR,EXPMAX=MAX    ,EXPOLD=50%    ,', ' ICE084I 0 EXCP ACCESS METHOD USED FOR IN', ' ICE750I 0 DC 8680000 TC 0 CS DSVVV KSZ 9 VSZ 9', ' ICE752I 0 FSZ=86800 RC  IGN=0 E  AVG=104 0  WSP=11725 C  DYN=0 0', ' ICE231I 0 STORAGE USED FOR OUTFIL : BELOW 16M = 20480, ABOVE 16M = 905216', ' ICE210I 0 OUT1     : EXCP USED, LRECL = 100, BLKSIZE = 1000, TYPE = FB', ' ICE210I 0 OUT2     : EXCP USED, LRECL = 100, BLKSIZE = 1000, TYPE = FB', ' ICE751I 1 DE-BASE   D5-I18897 D3-BASE   D7-BASE   CB-BASE   E8-I12417', ' ICE055I 0 INSERT 0, DELETE 0', ' ICE054I 0 RECORDS - IN: 86800, OUT: 86800', ' ICE227I 0 OUT1     : DELETED = 43400, REPORT = 0, DATA = 43400', ' ICE228I 0 OUT1     : TOTAL IN = 86800, TOTAL OUT = 43400', ' ICE227I 0 OUT2     : DELETED = 43400, REPORT = 0, DATA = 43400', ' ICE228I 0 OUT2     : TOTAL IN = 86800, TOTAL OUT = 43400', ' ICE134I 0 NUMBER OF BYTES SORTED: 8680000', ' ICE253I 0 RECORDS SORTED - PROCESSED: 86800, EXPECTED: 86800', ' ICE165I 0 TOTAL WORK DATA SET TRACKS ALLOCATED: 0 , TRACKS USED: 0', ' ICE199I 0 MEMORY OBJECT USED AS MAIN STORAGE = 0M BYTES', ' ICE299I 0 MEMORY OBJECT USED AS WORK STORAGE = 9M BYTES', ' ICE180I 0 HIPERSPACE STORAGE USED = 0K BYTES', ' ICE188I 0 DATA SPACE STORAGE USED = 0K BYTES', ' ICE052I 0 END OF DFSORT', '1ICE201I 0 RECORD TYPE IS F - DATA STARTS IN POSITION 1', ' ICE751I 0 C5-I21470 C6-BASE   C7-K96411 C8-I25275 E9-BASE   C9-BASE   E5-I25610', ' ICE143I 0 BLOCKSET     COPY  TECHNIQUE SELECTED', ' ICE250I 0 VISIT http://www.ibm.com/storage/dfsort FOR DFSORT PAPERS, EXAMPLES A', ' ICE000I 1 - CONTROL STATEMENTS FOR 5650-ZOS, Z/OS DFSORT V2R1  - 04:45 ON WED M', '0                SORT FIELDS=COPY', ""                 OUTFIL FILES=01,INCLUDE=(6,6,CH,EQ,C'Male')"", ""                 OUTFIL FILES=02,INCLUDE=(6,6,CH,EQ,C'Female')"", ' ICE193I 0 ICEAM1 INVOCATION ENVIRONMENT IN EFFECT - ICEAM1 ENVIRONMENT SELECTED', ' ICE088I 0 MINDT01Z.STEP4   .        , INPUT LRECL = 100, BLKSIZE = 1000, TYPE =', ' ICE093I 0 MAIN STORAGE = (MAX,6291456,6291456)', ' ICE156I 0 MAIN STORAGE ABOVE 16MB = (6234096,6234096)', ' ICE127I 0 OPTIONS: OVFLO=RC0 ,PAD=RC0 ,TRUNC=RC0 ,SPANINC=RC16,VLSCMP=N,SZERO=Y', ' ICE128I 0 OPTIONS: SIZE=6291456,MAXLIM=1048576,MINLIM=450560,EQUALS=N,LIST=Y,ER', ' ICE129I 0 OPTIONS: VIO=N,RESDNT=ALL ,SMF=NO   ,WRKSEC=Y,OUTSEC=Y,VERIFY=N,CHALT', ' ICE130I 0 OPTIONS: RESALL=4096,RESINV=0,SVC=109 ,CHECK=Y,WRKREL=Y,OUTREL=Y,CKPT', ' ICE131I 0 OPTIONS: TMAXLIM=6291456,ARESALL=0,ARESINV=0,OVERRGN=65536,CINV=Y,CFW', ' ICE132I 0 OPTIONS: VLSHRT=N,ZDPRINT=Y,IEXIT=N,TEXIT=N,LISTX=N,EFS=NONE    ,EXIT', ' ICE133I 0 OPTIONS: HIPRMAX=OPTIMAL,DSPSIZE=MAX ,ODMAXBF=2097152,SOLRF=Y,VLLONG=', ' ICE235I 0 OPTIONS: NULLOUT=RC0', ' ICE236I 0 OPTIONS: DYNAPCT=10 ,MOWRK=Y,TUNE=STOR,EXPMAX=MAX    ,EXPOLD=50%    ,', ' ICE084I 0 EXCP ACCESS METHOD USED FOR SORTIN', ' ICE231I 0 STORAGE USED FOR OUTFIL : BELOW 16M = 20480, ABOVE 16M = 905216', ' ICE210I 0 SORTOF01 : EXCP USED, LRECL = 100, BLKSIZE = 1000, TYPE = FB', ' ICE210I 0 SORTOF02 : EXCP USED, LRECL = 100, BLKSIZE = 1000, TYPE = FB', ' ICE751I 1 EF-I27321 CB-BASE   F0-BASE   E8-I12417', ' ICE055I 0 INSERT 0, DELETE 0', ' ICE054I 0 RECORDS - IN: 86800, OUT: 86800', ' ICE227I 0 SORTOF01 : DELETED = 51352, REPORT = 0, DATA = 35448', ' ICE228I 0 SORTOF01 : TOTAL IN = 86800, TOTAL OUT = 35448', ' ICE227I 0 SORTOF02 : DELETED = 35470, REPORT = 0, DATA = 51330', ' ICE228I 0 SORTOF02 : TOTAL IN = 86800, TOTAL OUT = 51330', ' ICE052I 0 END OF DFSORT', '1DSNU000I    134 04:45:53.07 DSNUGUTC - OUTPUT START FOR UTILITY, UTILID = MINDT', ' DSNU1044I   134 04:45:53.11 DSNUGTIS - PROCESSING SYSIN AS EBCDIC', '0DSNU050I    134 04:45:53.12 DSNUGUTC -  LOAD DATA', ' DSNU650I  - 134 04:45:53.13 DSNURWI -  INTO TABLE MALEDATA', ' DSNU650I  - 134 04:45:53.13 DSNURWI -   (PID POSITION(1:5) DECIMAL EXTERNAL(5,', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    GENDER POSITION(6:11) CHAR(6),', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    AGE POSITION(12:14) DECIMAL EXTERNAL(3', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    HYPERTENSION POSITION(15:16) DECIMAL E', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    HEART_DISEASE POSITION(17:18) DECIMAL', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    EVER_MARRIED POSITION(19:21) CHAR(3),', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    WORK_TYPE POSITION(22:36) CHAR(15),', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    RESIDENCE_TYPE POSITION(37:44) CHAR(8)', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    AVG_GLUCOSE_LEVEL POSITION(45:52) DECI', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    BMI POSITION(53:60) DECIMAL EXTERNAL(8', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    SMOKING_STATUS POSITION(61:75) CHAR(15', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    STOKE POSITION(76) DECIMAL EXTERNAL(1,', ' DSNU650I  - 134 04:45:53.13 DSNURWI -    NULL1 POSITION(77:100) CHAR(23))', ' DSNU304I  - 134 04:45:54.39 DSNURWT - (RE)LOAD PHASE STATISTICS - NUMBER OF REC', ' DSNU1147I - 134 04:45:54.39 DSNURWT - (RE)LOAD PHASE STATISTICS - TOTAL NUMBER', ' DSN00420.MALEDATA', ' DSNU302I    134 04:45:54.40 DSNURILD - (RE)LOAD PHASE STATISTICS - NUMBER OF IN', ' DSNU300I    134 04:45:54.40 DSNURILD - (RE)LOAD PHASE COMPLETE, ELAPSED TIME=00', ' DSNU3340I   134 04:45:54.40 DSNUGSOR - UTILITY PERFORMS DYNAMIC ALLOCATION OF S', ' IKJ56246I FILE SORTWK02 NOT ALLOCATED, FILE IN USE', ' DSNU3341I   134 04:45:54.45 DSNUGSOR - CANNOT ALLOCATE SORT DATASETS WITHIN 255', '-DSNU016I    134 04:45:54.53 DSNUGBAC - UTILITY BATCH MEMORY EXECUTION ABENDED,', '']"
,,,,,         7 //STEP2    EXEC PGM=IDCAMS,IDCAMS,0,,,,"  ,MINDT01.DIVYA.CONCSVF,",,,,
